€335,000 	 Buckfield, Kilmeena, Westport, Co Mayo, F28 HW53
AMV €70,000 	 Walsh Street, Ballina, Mayo
€355,000 	 Ballynanerroon Beg, Partry, Mayo
€215,000 	 17 Altamount Street, Westport, Mayo
€199,000 	 12 Bracklaghboy Village, Ballyhaunis, Mayo
€359,000 	 Mapel Lodge, Barley Hill, Westport, Mayo
€285,000 	 Glenbeg Cottage - Lot 2, Tourmakeady, Co Mayo, F12 D284
€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€590,000 	 Derrypark Lodge & Cottages - Lot 1a, Tourmakeady, Co Mayo, F12 VR83
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€110,000 	 2 Rathunas , Swinford, Mayo
€89,000 	 15 The Maples, Ballyhaunis, Co. Mayo
€195,000 	 Gladree, Belmullet, Co. Mayo
AMV €35,000 	 9 Tara Court, Castlebar, Mayo
€325,000  €26,000 on 2nd Oct 20 	 Annagh, Ballyhaunis, Mayo
AMV €40,000 	 Ballyoorclerhy, Kiltimagh, Mayo
€160,000  €1,000 on 5th Oct 20 	 7 Ard Abhainn, Foxford, Mayo
€215,000 	 Brackloonagh South, Charlestown, Co. Mayo, F12VK85
€325,000 	 2 Crann na Fuinseoige, Knockroosky, Westport, Co Mayo, F28 PY24
